t,P,eps,beta_B,cs2,s,S,L,Phi_nu,Qdot_nu
0.00067,0.0167167,1.24195,0.013460042674825878,0.1,1.487365269461078,3.419230504508225e-19,4.489000000000001e+41,4.4890000000000005e+33,5.117085777865424e+19
0.0006709999999999999,0.016748433,1.242235,0.013482499688062243,0.1,1.4868162776780371,3.41404426562121e-19,4.502409999999999e+41,4.502409999999999e+33,5.111971249777815e+19
0.000672,0.016780191999999996,1.24252,0.013504967324469623,0.1,1.4862679425837322,3.40887142794434e-19,4.51584e+41,4.515839999999999e+33,5.106861833661879e+19
0.000673,0.016811977,1.242805,0.013527445576739714,0.1,1.4857202630005977,3.4037119427275995e-19,4.529289999999999e+41,4.529289999999999e+33,5.101757524408203e+19
0.000674,0.016843788,1.24309,0.01354993443757089,0.1,1.485173237753883,3.398565761450533e-19,4.542760000000001e+41,4.5427600000000005e+33,5.096658316912475e+19
0.0006749999999999999,0.016875624999999995,1.243375,0.01357243389966824,0.1,1.484626865671642,3.3934328358208956e-19,4.556249999999999e+41,4.5562499999999987e+33,5.091564206075492e+19
0.000676,0.016907488,1.24366,0.01359494395574353,0.1,1.4840811455847256,3.3883131177733466e-19,4.569759999999999e+41,4.569759999999999e+33,5.086475186803138e+19
0.000677,0.016939377000000002,1.243945,0.013617464598515209,0.1,1.483536076326774,3.3832065594681273e-19,4.5832899999999995e+41,4.5832899999999993e+33,5.081391254006394e+19
0.000678,0.016971291999999995,1.24423,0.013639995820708387,0.1,1.4829916567342074,3.378113113289767e-19,4.596839999999999e+41,4.596839999999999e+33,5.076312402601327e+19
0.0006789999999999999,0.017003232999999996,1.244515,0.013662537615054857,0.1,1.4824478856462182,3.3730327318457754e-19,4.61041e+41,4.610409999999999e+33,5.0712386275090874e+19
0.0006799999999999999,0.0170352,1.2448000000000001,0.013685089974293059,0.1,1.481904761904762,3.3679653679653675e-19,4.623999999999999e+41,4.623999999999999e+33,5.066169923655896e+19
0.000681,0.017067193,1.245085,0.013707652891168074,0.1,1.4813622843545509,3.3629109746981853e-19,4.637609999999999e+41,4.637609999999999e+33,5.061106285973052e+19
0.000682,0.017099212,1.2453699999999999,0.013730226358431631,0.1,1.480820451843044,3.3578695053130244e-19,4.65124e+41,4.6512399999999993e+33,5.056047709396915e+19
0.000683,0.017131257,1.2456550000000002,0.013752810368842093,0.1,1.4802792632204398,3.3528409132965786e-19,4.664890000000001e+41,4.664890000000001e+33,5.050994188868908e+19
0.0006839999999999999,0.017163328,1.24594,0.013775404915164453,0.1,1.4797387173396677,3.347825152352189e-19,4.6785599999999996e+41,4.678559999999999e+33,5.045945719335512e+19
0.000685,0.017195425,1.246225,0.013798009990170316,0.1,1.4791988130563796,3.3428221763985983e-19,4.6922499999999995e+41,4.6922499999999994e+33,5.040902295748255e+19
